dato,aar,tercil,rth_range_pct,n_1m
2019-05-14,2019,mellem,1.5429482179795857,390
2019-06-03,2019,volatil,2.6880775852981484,390
2019-06-27,2019,rolig,0.5044095154414397,390
2019-08-06,2019,mellem,1.4950276980577988,390
2019-08-13,2019,volatil,3.0958831692328026,390
2019-08-14,2019,volatil,1.9158095363280863,390
2019-09-03,2019,mellem,1.1684613622230222,390
2019-10-02,2019,mellem,1.6596425887810775,390
2019-10-03,2019,volatil,2.3818175811833107,390
2019-11-08,2019,rolig,0.8738277919863597,390
2019-11-15,2019,rolig,0.4029226929668942,390
2019-12-19,2019,rolig,0.6381065637961539,390
2020-01-24,2020,volatil,1.873719400409792,390
2020-02-18,2020,rolig,0.8347463153775923,390
2020-03-03,2020,volatil,5.521851477362095,390
2020-03-04,2020,volatil,3.2559602081070262,390
2020-05-18,2020,mellem,1.3486176668914363,390
2020-06-01,2020,rolig,1.0503925842283552,390
2020-07-29,2020,rolig,1.0718923385668753,390
2020-08-10,2020,volatil,1.961796592669076,390
2020-08-31,2020,mellem,1.4250348457425783,390
2020-10-13,2020,mellem,1.3394234923770139,390
2020-10-27,2020,mellem,1.187689640225401,390
2020-12-04,2020,rolig,0.6753507014028056,390
2021-01-12,2021,mellem,1.4008913001356327,390
2021-01-26,2021,rolig,0.7874307524132436,390
2021-02-18,2021,mellem,1.4877161895269209,390
2021-03-04,2021,volatil,3.873107369169118,390
2021-06-15,2021,rolig,0.8588783226194904,390
2021-06-25,2021,rolig,0.5372231301505616,390
2021-08-16,2021,mellem,1.4572522754024437,390
2021-09-30,2021,mellem,1.407856310876281,390
2021-10-06,2021,volatil,1.9367167056879218,390
2021-11-11,2021,rolig,0.6598251851391843,390
2021-12-01,2021,volatil,3.4824652671522127,390
2021-12-21,2021,volatil,2.4250979396976953,390
2022-06-03,2022,volatil,1.801002090977236,390
2022-06-23,2022,volatil,1.9188302639195594,390
2022-07-28,2022,volatil,2.502677190338318,390
2022-08-17,2022,mellem,1.5517209491575579,390
2022-08-22,2022,mellem,1.664723533571606,390
2022-09-06,2022,volatil,1.9706058169975056,390
2022-11-16,2022,mellem,1.0973675864256265,390
2022-12-27,2022,mellem,1.4477672714111207,390
2023-04-17,2023,rolig,0.9819563152896487,390
2023-05-08,2023,rolig,0.8533192993008044,390
2023-05-17,2023,mellem,1.4306839186691311,390
2023-05-18,2023,volatil,1.8200128169916692,390
2023-07-18,2023,volatil,1.8763535195460077,390
2023-08-15,2023,mellem,1.211822660098522,390
2023-09-14,2023,mellem,1.174775928297055,390
2023-10-03,2023,volatil,2.1723425345676315,390
2023-10-06,2023,volatil,3.107876567085687,390
2023-11-01,2023,mellem,1.6993509064926569,390
2023-11-14,2023,rolig,0.8126739185428787,390
2023-12-28,2023,rolig,0.4738092808304054,390
2024-02-14,2024,mellem,1.1060361183332161,390
2024-05-23,2024,volatil,1.9018518030714118,390
2024-08-02,2024,volatil,2.012010401865902,390
2024-08-28,2024,volatil,1.9260410430174644,390
2024-09-05,2024,mellem,1.6334418764726126,390
2024-09-09,2024,mellem,1.2494128698919682,390
2024-09-30,2024,mellem,1.1434872023588294,390
2024-10-23,2024,volatil,1.8779055541962317,390
2024-10-28,2024,rolig,0.6824159707155065,390
2024-11-04,2024,rolig,1.0623625451970031,390
2024-11-11,2024,rolig,0.913874923647982,390
2024-11-22,2024,rolig,0.7587326399326639,390
2025-01-08,2025,mellem,1.2432248925933298,390
2025-02-18,2025,rolig,0.7424380272040075,390
2025-04-11,2025,volatil,3.2771306779615,390
2025-04-14,2025,volatil,2.689527870216306,390
2025-05-19,2025,mellem,1.6141393418461794,390
2025-06-10,2025,mellem,1.1425954548056556,390
2025-07-09,2025,rolig,0.8366425501822335,390
2025-07-10,2025,rolig,0.8180823283381551,390
2025-08-01,2025,mellem,1.3892799133730374,390
2025-08-25,2025,rolig,0.7362955396663262,390
2025-10-15,2025,volatil,1.806819318068193,390
2025-11-13,2025,volatil,1.9605726677722282,390
2026-01-21,2026,volatil,2.087591530569722,390
2026-01-22,2026,rolig,0.7578996463134984,390
2026-03-04,2026,mellem,1.576236747339409,390
2026-04-06,2026,rolig,1.0282193672020687,390
2026-04-10,2026,rolig,0.6744946228064111,390
2026-05-08,2026,mellem,1.6673303668819366,390
2026-05-13,2026,mellem,1.6748331142335204,390
2026-05-14,2026,mellem,1.0974937449641662,390
2026-05-22,2026,rolig,0.8747464503042597,390
2026-06-09,2026,volatil,5.449440091468541,390
2026-07-29,2026,volatil,2.8014114528291745,390
2026-08-03,2026,volatil,2.2898413033533904,390
