vindue,vindue_datoer,timeframe,session,kontrakter,stop_ATR,n_barer_ATR,ATR_pct_p50,ATR_pct_p90,ATR_pct_middel,R_usd_ved_ATR_p50,R_usd_ved_ATR_p90,R_usd_middel,omk_usd_rundtur_netto,risiko_pct_af_MLL_brutto_ved_ATR_p90,risiko_pct_af_MLL_netto_ved_ATR_p50,risiko_pct_af_MLL_netto_ved_ATR_p90,omk_R_ved_middel_R,be_WR_pct_ved_middel_R,be_WR_pct_ved_R_p50,variant,WR_akse,WR_rolle,WR_pct,edge_pp_over_be_WR,konsistens_pct,horisont_dage,bestaa_pct_netto_opt,bestaa_CI95_lav_netto_opt,bestaa_CI95_hoej_netto_opt,ruin_pct_netto_opt,ruin_CI95_lav_netto_opt,ruin_CI95_hoej_netto_opt,uafgjort_pct_netto_opt,dage_til_bestaa_p50_netto_opt,dage_til_bestaa_p90_netto_opt,nulmodel_bestaa_pct_netto_opt,bestaa_pp_over_nulmodel_netto_opt,bestaa_pp_over_nulmodel_CI95_lav_netto_opt,bestaa_pp_over_nulmodel_CI95_hoej_netto_opt,pnl_middel_pr_handel_usd_netto_opt,bestaa_pct_netto_pess,bestaa_CI95_lav_netto_pess,bestaa_CI95_hoej_netto_pess,ruin_pct_netto_pess,ruin_CI95_lav_netto_pess,ruin_CI95_hoej_netto_pess,uafgjort_pct_netto_pess,dage_til_bestaa_p50_netto_pess,dage_til_bestaa_p90_netto_pess,nulmodel_bestaa_pct_netto_pess,bestaa_pp_over_nulmodel_netto_pess,bestaa_pp_over_nulmodel_CI95_lav_netto_pess,bestaa_pp_over_nulmodel_CI95_hoej_netto_pess,pnl_middel_pr_handel_usd_netto_pess,bestaa_pct_brutto_opt,bestaa_CI95_lav_brutto_opt,bestaa_CI95_hoej_brutto_opt,ruin_pct_brutto_opt,ruin_CI95_lav_brutto_opt,ruin_CI95_hoej_brutto_opt,uafgjort_pct_brutto_opt,dage_til_bestaa_p50_brutto_opt,dage_til_bestaa_p90_brutto_opt,nulmodel_bestaa_pct_brutto_opt,bestaa_pp_over_nulmodel_brutto_opt,bestaa_pp_over_nulmodel_CI95_lav_brutto_opt,bestaa_pp_over_nulmodel_CI95_hoej_brutto_opt,pnl_middel_pr_handel_usd_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI95_lav_brutto_pess,bestaa_CI95_hoej_brutto_pess,ruin_pct_brutto_pess,ruin_CI95_lav_brutto_pess,ruin_CI95_hoej_brutto_pess,uafgjort_pct_brutto_pess,dage_til_bestaa_p50_brutto_pess,dage_til_bestaa_p90_brutto_pess,nulmodel_bestaa_pct_brutto_pess,bestaa_pp_over_nulmodel_brutto_pess,bestaa_pp_over_nulmodel_CI95_lav_brutto_pess,bestaa_pp_over_nulmodel_CI95_hoej_brutto_pess,pnl_middel_pr_handel_usd_brutto_pess,median_dage_bestaaet_netto_pess,spread_ticks,slippage_ticks_pr_side
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,34,34.0,0.1607559769667477,55.00000000000001,200,27.155,26.54303739320296,27.775736734200464,72.845,72.22426326579954,73.45696260679703,0.0,30.0,63.0,26.125,1.0300000000000031,0.8899098314349473,1.1709953566004303,0.674126723611725,23.355,22.773789957680744,23.946443643749067,76.645,76.05355635625092,77.22621004231924,0.0,27.0,56.0,22.495,0.8599999999999997,0.7318432219075236,0.9893454069142468,0.6542391847304636,30.22,29.587425336604863,30.86017160977464,69.77,69.12977065052854,70.40263624381306,0.01,30.0,62.0,26.225,3.995000000000004,3.723924729757097,4.267317297437926,3.265933866554928,26.04,25.436434311402444,26.652768056406096,73.96,73.34723194359391,74.56356568859756,0.0,28.0,55.0,22.515,3.525000000000003,3.2700088082498775,3.7818641409316824,3.3227754498187876,27.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,37,37.0,3.160755976966745,55.00000000000001,200,46.555,45.8644224672186,47.24690066120796,53.44,52.74809551802975,54.13058327390425,0.005,29.0,60.0,26.125,20.430000000000003,19.87013633720007,20.98781789436545,16.204631045559058,40.69,40.01101740957955,41.37255830178511,59.31,58.62744169821489,59.988982590420434,0.0,27.0,55.0,22.495,18.194999999999997,17.659902529528633,18.72944785403248,16.257789363960907,49.955,49.2621235490832,50.64789373416184,50.04,49.34710716713445,50.73287746998104,0.005,29.0,60.0,26.225,23.73,23.13883785332143,24.318134095467666,18.670358155157786,44.02,43.333235464814,44.709061286417004,55.98,55.290938713582996,56.666764535186,0.0,27.0,54.0,22.515,21.505,20.93471109997327,22.07366476555109,18.805219478568993,27.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,40,40.0,6.1607559769667475,55.00000000000001,200,65.5,64.83826526267251,66.15578161958825,34.5,33.84421838041175,35.161734737327485,0.0,27.0,55.0,26.125,39.37500000000001,38.693915650888805,40.048206923298636,31.445064774893055,58.88,58.19642218022252,59.56016725942106,41.12,40.43983274057894,41.80357781977747,0.0,25.0,50.0,22.495,36.385,35.71497436222901,37.048564910852924,31.553215016610093,68.86,68.21466478313994,69.49809161682379,31.14,30.501908383176207,31.785335216860062,0.0,26.5,55.0,26.225,42.635,41.94514034324559,43.31596579907722,34.25637990233084,62.15,61.475545685348635,62.819787838488025,37.85,37.180212161511975,38.524454314651365,0.0,25.0,50.0,22.515,39.63500000000001,38.95329420759396,40.30914298606443,34.311364031025,25.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,45,45.0,11.160755976966746,55.00000000000001,200,87.385,86.91766342246254,87.83797804162253,12.615,12.162021958377474,13.082336577537465,0.0,22.0,43.0,26.125,61.260000000000005,60.577934647183206,61.92834582901876,57.77418041831951,82.325,81.7901440457585,82.84744082321434,17.675,17.152559176785655,18.2098559542415,0.0,21.0,41.0,22.495,59.830000000000005,59.14354518087161,60.50248708779501,57.807432508146825,88.84,88.39613482937116,89.26894780979062,11.16,10.731052190209379,11.60386517062883,0.0,21.0,42.0,26.225,62.614999999999995,61.9374604873725,63.27864900670222,60.388263557822945,84.2,83.68794228646011,84.69892244730232,15.8,15.301077552697674,16.31205771353988,0.0,20.0,40.0,22.515,61.685,61.00396763069059,62.35159097602211,60.47173609325229,21.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be,33.83924402303325,0.0,55.00000000000001,200,26.125,25.520776509494453,26.738393212184537,73.87,73.2565701059473,74.47426209273426,0.005,30.0,62.0,26.125,0.0,-0.013420202074575577,0.013420202074575577,-0.23456856964813458,22.495,21.921630107234506,23.078933796211807,77.505,76.92106620378819,78.0783698927655,0.0,27.0,55.0,22.495,0.0,-0.01440881966280783,0.01440881966280783,-0.2003665976423963,29.19,28.563961568964157,29.824030971690917,70.795,70.16087682452688,71.42113639589972,0.015,30.0,62.0,26.225,2.9650000000000007,2.730197886444794,3.2010238197945386,2.410996576782902,25.13,24.533664130373932,25.73588774305672,74.87,74.26411225694329,75.46633586962608,0.0,28.0,55.0,22.515,2.6150000000000033,2.394296333394303,2.837468411676572,2.447851179342379,27.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+3,36.83924402303326,3.0000000000000027,55.00000000000001,200,45.405,44.71592859214254,46.09583621921306,54.595,53.90416378078694,55.28407140785746,0.0,30.0,61.0,26.125,19.28,18.732339754002435,19.825939961575116,15.325577828572325,39.555,38.87940459972988,40.23460703348215,60.445,59.76539296651786,61.120595400270126,0.0,27.0,54.0,22.495,17.06,16.538419196272194,17.581247176436015,15.338460669349287,48.905,48.212491051765866,49.597929507196994,51.09,50.39706993895808,51.782511422439605,0.005,29.0,61.0,26.225,22.68,22.098227584243887,23.259055688233477,17.805945552287227,42.935,42.25042186167759,43.62229160779518,57.065,56.377708392204816,57.74957813832242,0.0,27.0,55.0,22.515,20.42,19.860596818375146,20.978103934763325,17.902138949337147,27.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+6,39.83924402303325,6.0,55.00000000000001,200,64.475,63.808999807627565,65.1354407485482,35.525,34.864559251451794,36.19100019237244,0.0,27.0,55.0,26.125,38.35000000000001,37.6723217052859,39.02012181055157,30.58140889795064,57.93,57.2443599922258,58.61259431592439,42.07,41.38740568407561,42.75564000777422,0.0,25.0,50.5,22.495,35.435,34.76900055904438,36.094859323161884,30.7100913246656,67.84,67.18928480093734,68.48386335258084,32.16,31.516136647419156,32.810715199062656,0.0,27.0,55.0,26.225,41.615,40.92755201336499,42.29386785635658,33.33477933498035,61.105,60.42728428054127,61.77845059865263,38.895,38.22154940134736,39.57271571945872,0.0,25.0,50.0,22.515,38.59,37.91170143695612,39.26108920028839,33.40414094540988,25.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+11,44.83924402303325,10.999999999999998,55.00000000000001,200,86.91,86.43545026671754,87.37037363162081,13.09,12.629626368379181,13.564549733282455,0.0,22.0,44.0,26.125,60.785,60.10148816006521,61.45487125990975,56.86600737284778,81.735,81.19343789858668,82.26437357293234,18.265,17.73562642706764,18.806562101413316,0.0,21.0,41.0,22.495,59.24,58.55203774959856,59.9141534810818,56.89984006725245,88.375,87.92339604948785,88.81186518320614,11.625,11.188134816793864,12.076603950512167,0.0,21.0,43.0,26.225,62.150000000000006,61.47084635999769,62.81532528181324,59.43151507803454,83.685,83.16644468929782,84.19061784160242,16.315,15.80938215839758,16.833555310702184,0.0,21.0,40.0,22.515,61.17,60.487357646346354,61.83832894832732,59.53930704775854,21.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,34,34.0,-0.00788091959988968,55.00000000000001,200,25.935,25.332250978843945,26.54699171653638,73.915,73.30190061056014,74.51891430487638,0.15,49.0,100.0,25.985,-0.050000000000000044,-0.0838815715772023,-0.016325448016894985,-0.20987396197320946,22.77,22.194085482493485,23.35637280112197,77.15,76.56292435947536,77.72664808267815,0.08,45.0,91.0,22.825,-0.054999999999999494,-0.0906522740130683,-0.0196376505137833,-0.29103640864163927,31.22,30.5814427062359,31.86577016803139,68.625,67.97839344943213,69.26445320747798,0.155,50.0,101.0,25.805,5.414999999999997,5.101745196946579,5.729503081640015,2.4507544169215034,27.715,27.099005976471414,28.339553070549172,72.225,71.60004526111017,72.84141873619596,0.06,46.0,93.0,22.865,4.850000000000001,4.552916463025051,5.148920121656976,2.38533739635345,45.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,37,37.0,2.9921190804001077,55.00000000000001,200,50.71,50.01704812810489,51.40267918069544,49.19,48.49736108502382,49.882950013387074,0.1,47.0,96.0,25.985,24.724999999999998,24.125415304746532,25.32129752706987,11.502741304243683,45.96,45.27015552009079,46.651396131242535,54.0,53.308566847678726,54.68989686387245,0.04,45.0,89.0,22.825,23.135,22.549414188501526,23.71839356500301,11.548365331737058,56.5,55.8117450880985,57.18575844317213,43.395,42.70945402780665,44.08308276849449,0.105,47.0,95.0,25.805,30.694999999999993,30.05319907646799,31.331695050082196,14.093882119648898,51.26,50.56709265910568,51.95242341003292,48.705,48.012595705150204,49.39790166823511,0.035,44.0,87.0,22.865,28.394999999999992,27.768099866744073,29.018028649004002,14.083819702048919,45.0,,
