kontrakter,stop_ATR,risiko_pct_af_MLL_netto_5a,risiko_pct_af_MLL_netto_p50_RTH,risiko_pct_af_MLL_netto_p50_døgn,risiko_pct_af_MLL_netto_p90_RTH,risiko_pct_af_MLL_netto_p90_døgn
1,0.5,2.6132180000000003,3.560497844505206,2.0855430229287877,6.921391138934245,4.5116337239613955
1,0.75,3.858077,5.2789967667578095,3.066564534393182,10.320336708401369,6.705700585942092
1,1.0,5.102936000000001,6.997495689010412,4.047586045857575,13.71928227786849,8.899767447922791
2,0.5,5.2264360000000005,7.120995689010412,4.171086045857575,13.84278227786849,9.023267447922791
2,0.75,7.716154,10.557993533515619,6.133129068786364,20.640673416802738,13.411401171884185
2,1.0,10.205872000000001,13.994991378020824,8.09517209171515,27.43856455573698,17.799534895845582
3,0.5,7.839654,10.681493533515617,6.2566290687863635,20.764173416802738,13.534901171884187
3,0.75,11.574231,15.83699030027343,9.199693603179545,30.96101012520411,20.117101757826276
3,1.0,15.308808,20.992487067031238,12.142758137572727,41.15784683360548,26.699302343768373
