buffer,BE,side,periode,signaler_sprunget_over_position_n,signaler_sprunget_over_dagslukket_n,zoner_n,beroeringer_n,ugyldig_foer_aktiv_pct,handler_n,censurerede_zoner_n,middel_R_brutto,middel_R_netto,middel_R_netto_ci95_lo,middel_R_netto_ci95_hi,win_rate_pct_netto,win_rate_ci95_lo_pct,win_rate_ci95_hi_pct,udfald_maal_pct,udfald_stop_pct,udfald_BE_pct,udfald_tidsexit_pct,udfald_censureret_pct,tidsexit_middel_R_netto,dage_med_handel_n,handler_pr_dag_middel,strejf_uden_gennemhandling_n,strejf_hvis_fyldt_middel_R_netto,strejf_hvis_fyldt_win_rate_pct_netto,risiko_pt_p10,kontrakter_p10,risiko_pt_p50,kontrakter_p50,risiko_pt_p90,kontrakter_p90,omk_R_netto_p50,kontrakter_maks,afvist_kontrakter_nul_n,N1_middel_R_netto_p5,N1_middel_R_netto_p50,N1_middel_R_netto_p95,N1_handler_n_p50,p_FWE,N2_middel_R_netto_p50
buffer_10,ingen,alle,2019-2023,0,2246,15650,10749,29.34185303514377,1095,5,0.15471260121092886,0.059886320500090295,-0.024296952186262183,0.14406959318644277,35.4337899543379,32.656171639033545,38.31325279983326,35.4337899543379,57.62557077625571,0.0,6.940639269406392,0.0,0.35863209622221937,1095,1.0,8,1.4354760213710027,75.0,7.424999999999272,2.0,20.899999999999636,5.0,55.274999999999636,16.0,0.06284688995215419,50.0,18,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,alle,2019,0,2246,2190,1538,27.80821917808219,158,0,-0.02967553076336919,-0.22813876389696125,-0.43996979392247015,-0.016307733871452346,28.481012658227847,22.01974118217329,35.96383082990434,28.481012658227847,62.0253164556962,0.0,9.49367088607595,0.0,0.265885640720608,158,1.0,1,1.6815757575757577,100.0,4.125,6.0,8.800000000000182,14.0,20.51499999999997,30.0,0.14926136363636053,50.0,0,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,alle,2020,0,2246,3375,2330,28.68148148148148,236,0,0.12357925116127601,0.03703733099132496,-0.1454377672848044,0.2195124292674543,34.74576271186441,28.958965672874854,41.02120357975327,34.74576271186441,59.74576271186441,0.0,5.508474576271187,0.0,0.5444133020030826,236,1.0,1,1.967943868212325,100.0,8.25,2.0,20.350000000000364,6.0,50.875,15.0,0.06454545454545339,50.0,4,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,alle,2021,0,2246,3284,2243,29.90255785627284,235,0,0.20689819584860827,0.11861055795429289,-0.06362306859717796,0.3008441845057637,37.4468085106383,31.507412070780894,43.79000895012604,37.4468085106383,54.46808510638298,0.0,8.085106382978724,0.0,0.05758677724331988,235,1.0,2,0.8655523239235812,50.0,8.525000000000546,2.0,20.350000000000364,6.0,52.38749999999982,14.0,0.06454545454545339,37.0,2,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,alle,2022,0,2246,3440,2387,29.040697674418606,237,0,0.20873035186485525,0.15473113700624092,-0.030602382691490487,0.34006465670397235,37.552742616033754,31.632162255123518,43.87039436909733,37.552742616033754,57.80590717299578,0.0,4.641350210970464,0.0,0.811665151974834,237,1.0,1,1.943138528138529,100.0,15.125,1.0,33.82500000000073,3.0,75.02000000000045,8.0,0.038832224685882384,34.0,11,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,alle,2023,0,2246,3361,2251,30.76465337697114,229,5,0.20455964845469293,0.12373744515121456,-0.06149473767279805,0.30896962797522715,36.68122270742358,30.706839253611797,43.095077162409844,36.68122270742358,55.45851528384279,0.0,7.860262008733624,0.0,0.3426620187051791,229,1.0,3,1.3866817897314156,66.66666666666667,9.075000000000728,2.0,21.587500000000546,5.0,50.05000000000018,13.0,0.06084786521495227,37.0,1,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,demand,2019-2023,0,2246,7926,5507,28.07216754983598,548,4,0.19824285378083695,0.1009588670641676,-0.018300611512396966,0.22021834564073217,36.13138686131387,32.21877270089218,40.23708439892962,36.13138686131387,55.839416058394164,0.0,8.02919708029197,0.0,0.44608522869603195,548,1.0,2,1.1110380328852,50.0,7.424999999999272,2.0,21.174999999999272,5.0,53.899999999999636,16.0,0.062030696576153246,50.0,11,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,demand,2019,0,2246,1105,759,28.235294117647058,84,0,0.11444935997926253,-0.10000247380741124,-0.4000966241746116,0.20009167655978916,32.142857142857146,23.12612316298474,42.721438566110265,32.142857142857146,54.76190476190476,0.0,13.095238095238095,0.0,0.1615704084608599,84,1.0,0,,,3.850000000000364,5.300000000000001,8.9375,13.5,20.81749999999975,32.0,0.14699982782369136,50.0,0,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,demand,2020,0,2246,1742,1264,24.68427095292767,128,0,0.10264012143543896,0.014999079345064677,-0.23086247926209144,0.2608606379522208,32.8125,25.282984471663305,41.34359840023855,32.8125,59.375,0.0,7.8125,0.0,0.556010967852046,128,1.0,0,,,7.975000000000364,2.0,20.075000000000728,6.0,51.15000000000009,15.0,0.06542963885429401,50.0,2,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
buffer_10,ingen,demand,2021,0,2246,1654,1150,27.871825876662637,113,0,0.2829301340644447,0.1940430415621691,-0.0764260530974473,0.46451213622178544,40.70796460176991,32.10007774543554,49.926849843489244,40.70796460176991,53.982300884955755,0.0,5.3097345132743365,0.0,0.2153681193312571,113,1.0,0,,,9.267500000000474,2.0,21.450000000000728,5.0,53.0474999999995,13.0,0.061235431235429155,37.0,1,-0.052174809477772824,0.016391925894470503,0.08855820524049862,848.0,,-0.41528603989754753
