kontrakter,stop_ATR,WR_pct,omk,brudmodel,maal,pct_v1,CI95_lav_v1,CI95_hoej_v1,pct_v2,afvigelse_pp,inden_for_CI,identisk
1,0.75,37.0,brutto,opt,uafgjort,22.25,21.679,22.832,22.245,-0.005,True,True
1,0.75,37.0,brutto,pess,bestaa,62.65,61.977,63.318,62.645,-0.005,True,True
1,0.75,37.0,brutto,pess,ruin,16.43,15.923,16.95,16.435,0.005,True,True
1,0.75,37.0,brutto,pess,uafgjort,20.92,20.362,21.489,20.92,0.0,True,True
1,0.75,40.0,netto,opt,bestaa,86.02,85.532,86.494,86.02,0.0,True,True
1,0.75,40.0,netto,opt,ruin,5.28,4.979,5.599,5.275,-0.005,True,True
1,0.75,40.0,netto,opt,uafgjort,8.71,8.327,9.109,8.705,-0.005,True,True
1,0.75,40.0,netto,pess,bestaa,85.59,85.096,86.07,85.59,0.0,True,True
1,0.75,40.0,netto,pess,ruin,6.18,5.855,6.522,6.18,0.0,True,True
1,0.75,40.0,netto,pess,uafgjort,8.23,7.857,8.619,8.23,0.0,True,True
1,0.75,40.0,brutto,opt,bestaa,93.21,92.853,93.55,93.21,0.0,True,True
1,0.75,40.0,brutto,opt,ruin,2.62,2.408,2.851,2.615,-0.005,True,True
1,0.75,40.0,brutto,opt,uafgjort,4.17,3.902,4.456,4.175,0.005,True,True
1,0.75,40.0,brutto,pess,bestaa,92.8,92.433,93.15,92.795,-0.005,True,True
1,0.75,40.0,brutto,pess,ruin,3.31,3.071,3.567,3.305,-0.005,True,True
1,0.75,40.0,brutto,pess,uafgjort,3.9,3.64,4.177,3.9,0.0,True,True
1,0.75,45.0,netto,opt,bestaa,99.72,99.637,99.784,99.72,0.0,True,True
1,0.75,45.0,netto,opt,ruin,0.2,0.147,0.272,0.2,0.0,True,True
1,0.75,45.0,netto,opt,uafgjort,0.08,0.049,0.13,0.08,0.0,True,True
1,0.75,45.0,netto,pess,bestaa,99.69,99.603,99.758,99.685,-0.005,True,True
1,0.75,45.0,netto,pess,ruin,0.24,0.181,0.318,0.24,0.0,True,True
1,0.75,45.0,netto,pess,uafgjort,0.07,0.042,0.117,0.075,0.005,True,True
1,0.75,45.0,brutto,opt,bestaa,99.86,99.798,99.903,99.865,0.005,True,True
1,0.75,45.0,brutto,opt,ruin,0.12,0.081,0.179,0.115,-0.005,True,True
1,0.75,45.0,brutto,opt,uafgjort,0.02,0.008,0.051,0.02,0.0,True,True
1,0.75,45.0,brutto,pess,bestaa,99.84,99.774,99.887,99.845,0.005,True,True
1,0.75,45.0,brutto,pess,ruin,0.14,0.097,0.202,0.14,0.0,True,True
1,0.75,45.0,brutto,pess,uafgjort,0.01,0.003,0.036,0.015,0.005,True,True
1,1.0,34.0,netto,opt,bestaa,21.27,20.708,21.843,21.27,0.0,True,True
1,1.0,34.0,netto,opt,ruin,72.08,71.454,72.697,72.08,0.0,True,True
1,1.0,34.0,netto,opt,uafgjort,6.65,6.313,7.004,6.65,0.0,True,True
1,1.0,34.0,netto,pess,bestaa,20.45,19.897,21.015,20.455,0.005,True,True
1,1.0,34.0,netto,pess,ruin,74.26,73.649,74.861,74.26,0.0,True,True
1,1.0,34.0,netto,pess,uafgjort,5.29,4.988,5.609,5.285,-0.005,True,True
1,1.0,34.0,brutto,opt,bestaa,30.86,30.224,31.504,30.855,-0.005,True,True
1,1.0,34.0,brutto,opt,ruin,60.8,60.121,61.474,60.795,-0.005,True,True
1,1.0,34.0,brutto,opt,uafgjort,8.35,7.975,8.741,8.35,0.0,True,True
1,1.0,34.0,brutto,pess,bestaa,29.66,29.031,30.297,29.665,0.005,True,True
1,1.0,34.0,brutto,pess,ruin,63.63,62.961,64.294,63.635,0.005,True,True
1,1.0,34.0,brutto,pess,uafgjort,6.7,6.362,7.055,6.7,0.0,True,True
1,1.0,37.0,netto,opt,bestaa,59.38,58.698,60.059,59.375,-0.005,True,True
1,1.0,37.0,netto,opt,ruin,34.55,33.894,35.212,34.555,0.005,True,True
1,1.0,37.0,netto,opt,uafgjort,6.07,5.747,6.409,6.07,0.0,True,True
1,1.0,37.0,netto,pess,bestaa,57.67,56.984,58.353,57.67,0.0,True,True
1,1.0,37.0,netto,pess,ruin,37.56,36.891,38.233,37.56,0.0,True,True
1,1.0,37.0,netto,pess,uafgjort,4.77,4.483,5.074,4.77,0.0,True,True
1,1.0,37.0,brutto,opt,bestaa,70.12,69.482,70.75,70.12,0.0,True,True
1,1.0,37.0,brutto,opt,ruin,24.73,24.137,25.333,24.725,-0.005,True,True
1,1.0,37.0,brutto,opt,uafgjort,5.16,4.862,5.475,5.155,-0.005,True,True
1,1.0,37.0,brutto,pess,bestaa,68.14,67.491,68.782,68.135,-0.005,True,True
1,1.0,37.0,brutto,pess,ruin,27.67,27.054,28.294,27.67,0.0,True,True
1,1.0,37.0,brutto,pess,uafgjort,4.2,3.931,4.487,4.195,-0.005,True,True
1,1.0,40.0,netto,opt,bestaa,88.61,88.162,89.043,88.61,0.0,True,True
1,1.0,40.0,netto,opt,ruin,10.09,9.68,10.515,10.085,-0.005,True,True
1,1.0,40.0,netto,opt,uafgjort,1.3,1.152,1.467,1.305,0.005,True,True
1,1.0,40.0,netto,pess,bestaa,87.05,86.578,87.508,87.05,0.0,True,True
1,1.0,40.0,netto,pess,ruin,11.84,11.4,12.295,11.835,-0.005,True,True
1,1.0,40.0,netto,pess,uafgjort,1.11,0.974,1.265,1.115,0.005,True,True
1,1.0,40.0,brutto,opt,bestaa,92.79,92.423,93.14,92.79,0.0,True,True
1,1.0,40.0,brutto,opt,ruin,6.41,6.079,6.758,6.41,0.0,True,True
1,1.0,40.0,brutto,opt,uafgjort,0.8,0.686,0.933,0.8,0.0,True,True
1,1.0,40.0,brutto,pess,bestaa,91.47,91.075,91.849,91.475,0.005,True,True
1,1.0,40.0,brutto,pess,ruin,7.86,7.495,8.241,7.86,0.0,True,True
1,1.0,40.0,brutto,pess,uafgjort,0.67,0.566,0.793,0.665,-0.005,True,True
1,1.0,45.0,netto,opt,bestaa,99.08,98.938,99.203,99.095,0.015,True,False
1,1.0,45.0,netto,opt,ruin,0.9,0.778,1.041,0.9,0.0,True,True
1,1.0,45.0,netto,opt,uafgjort,0.01,0.003,0.036,0.005,-0.005,True,True
1,1.0,45.0,netto,pess,bestaa,98.83,98.671,98.97,98.835,0.005,True,True
1,1.0,45.0,netto,pess,ruin,1.16,1.021,1.318,1.16,0.0,True,True
1,1.0,45.0,netto,pess,uafgjort,0.01,0.003,0.036,0.005,-0.005,True,True
1,1.0,45.0,brutto,opt,bestaa,99.47,99.359,99.562,99.47,0.0,True,True
1,1.0,45.0,brutto,opt,ruin,0.53,0.438,0.641,0.53,0.0,True,True
1,1.0,45.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
1,1.0,45.0,brutto,pess,bestaa,99.27,99.142,99.379,99.27,0.0,True,True
1,1.0,45.0,brutto,pess,ruin,0.73,0.621,0.858,0.73,0.0,True,True
1,1.0,45.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.5,34.0,netto,opt,bestaa,14.15,13.674,14.64,14.15,0.0,True,True
2,0.5,34.0,netto,opt,ruin,80.83,80.279,81.37,80.83,0.0,True,True
2,0.5,34.0,netto,opt,uafgjort,5.02,4.726,5.331,5.02,0.0,True,True
2,0.5,34.0,netto,pess,bestaa,13.6,13.132,14.082,13.6,0.0,True,True
2,0.5,34.0,netto,pess,ruin,82.54,82.008,83.06,82.54,0.0,True,True
2,0.5,34.0,netto,pess,uafgjort,3.86,3.602,4.136,3.86,0.0,True,True
2,0.5,34.0,brutto,opt,bestaa,30.96,30.323,31.604,30.96,0.0,True,True
2,0.5,34.0,brutto,opt,ruin,61.05,60.372,61.724,61.055,0.005,True,True
2,0.5,34.0,brutto,opt,uafgjort,7.99,7.622,8.374,7.985,-0.005,True,True
2,0.5,34.0,brutto,pess,bestaa,29.71,29.081,30.347,29.715,0.005,True,True
2,0.5,34.0,brutto,pess,ruin,63.88,63.212,64.543,63.875,-0.005,True,True
2,0.5,34.0,brutto,pess,uafgjort,6.41,6.079,6.758,6.41,0.0,True,True
2,0.5,37.0,netto,opt,bestaa,48.0,47.308,48.693,48.0,0.0,True,True
2,0.5,37.0,netto,opt,ruin,45.13,44.441,45.821,45.135,0.005,True,True
2,0.5,37.0,netto,opt,uafgjort,6.87,6.528,7.229,6.865,-0.005,True,True
