vindue,vindue_datoer,timeframe,session,kontrakter,stop_ATR,n_barer_ATR,ATR_pct_p50,ATR_pct_p90,ATR_pct_middel,R_usd_ved_ATR_p50,R_usd_ved_ATR_p90,R_usd_middel,omk_usd_rundtur_netto,risiko_pct_af_MLL_brutto_ved_ATR_p90,risiko_pct_af_MLL_netto_ved_ATR_p50,risiko_pct_af_MLL_netto_ved_ATR_p90,omk_R_ved_middel_R,be_WR_pct_ved_middel_R,be_WR_pct_ved_R_p50,variant,WR_akse,WR_rolle,WR_pct,edge_pp_over_be_WR,bestaa_pct_netto_opt,bestaa_CI95_lav_netto_opt,bestaa_CI95_hoej_netto_opt,ruin_pct_netto_opt,ruin_CI95_lav_netto_opt,ruin_CI95_hoej_netto_opt,uafgjort_pct_netto_opt,nulmodel_bestaa_pct_netto_opt,bestaa_pp_over_nulmodel_netto_opt,bestaa_pp_over_nulmodel_CI95_lav_netto_opt,bestaa_pp_over_nulmodel_CI95_hoej_netto_opt,pnl_middel_pr_handel_usd_netto_opt,bestaa_pct_netto_pess,bestaa_CI95_lav_netto_pess,bestaa_CI95_hoej_netto_pess,ruin_pct_netto_pess,ruin_CI95_lav_netto_pess,ruin_CI95_hoej_netto_pess,uafgjort_pct_netto_pess,nulmodel_bestaa_pct_netto_pess,bestaa_pp_over_nulmodel_netto_pess,bestaa_pp_over_nulmodel_CI95_lav_netto_pess,bestaa_pp_over_nulmodel_CI95_hoej_netto_pess,pnl_middel_pr_handel_usd_netto_pess,bestaa_pct_brutto_opt,bestaa_CI95_lav_brutto_opt,bestaa_CI95_hoej_brutto_opt,ruin_pct_brutto_opt,ruin_CI95_lav_brutto_opt,ruin_CI95_hoej_brutto_opt,uafgjort_pct_brutto_opt,nulmodel_bestaa_pct_brutto_opt,bestaa_pp_over_nulmodel_brutto_opt,bestaa_pp_over_nulmodel_CI95_lav_brutto_opt,bestaa_pp_over_nulmodel_CI95_hoej_brutto_opt,pnl_middel_pr_handel_usd_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI95_lav_brutto_pess,bestaa_CI95_hoej_brutto_pess,ruin_pct_brutto_pess,ruin_CI95_lav_brutto_pess,ruin_CI95_hoej_brutto_pess,uafgjort_pct_brutto_pess,nulmodel_bestaa_pct_brutto_pess,bestaa_pp_over_nulmodel_brutto_pess,bestaa_pp_over_nulmodel_CI95_lav_brutto_pess,bestaa_pp_over_nulmodel_CI95_hoej_brutto_pess,pnl_middel_pr_handel_usd_brutto_pess,median_dage_bestaaet_netto_pess,spread_ticks,slippage_ticks_pr_side
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,34,34.0,0.1607559769667477,26.675,26.066591072306522,27.29236740971076,73.315,72.69756146055273,73.9234838981511,0.01,25.675,1.0000000000000009,0.8619361277585527,1.1389998553082237,0.6321794103961018,22.97,22.39225718105579,23.558124288137215,77.02,76.43178862753885,77.59783374398926,0.01,22.125,0.8449999999999985,0.7179512995021968,0.9732685010847384,0.6268897044176022,29.815,29.184949513960035,30.452802981624917,70.165,69.52707866169044,70.79517652416686,0.02,25.78,4.0350000000000055,3.7626579976580734,4.308654432215355,3.2626769674827836,25.675,25.07429276200903,26.285049792120454,74.32,73.70991259920461,74.92074676702643,0.005,22.12,3.554999999999997,3.29899923952987,3.812952927500325,3.297826705707683,28.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,37,37.0,3.160755976966745,46.255,45.564779708082014,46.94665864197821,53.735,53.04333288569876,54.42523260496215,0.01,25.675,20.580000000000005,20.018636057150665,21.13935693924528,16.17972197405474,40.425,39.746774383871745,41.10690310660266,59.575,58.89309689339734,60.25322561612825,0.0,22.125,18.3,17.763735117217124,18.83567541261226,16.23300066180534,49.75,49.05717129536799,50.44292472266005,50.245,49.55207589460362,50.93783000772887,0.005,25.78,23.970000000000002,23.37679780731993,24.560177100345967,18.69776636546772,43.8,43.11365175784691,44.48872948924878,56.2,55.51127051075121,56.8863482421531,0.0,22.12,21.68,21.1080554728315,22.250359767332956,18.79499159039449,28.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,40,40.0,6.1607559769667475,65.345,64.68259867382359,66.00150773961457,34.655,33.99849226038544,35.317401326176416,0.0,25.675,39.67,38.98801084367878,40.344055255216844,31.369917077832167,58.725,58.04106787473001,59.40558109609096,41.275,40.59441890390904,41.95893212526998,0.0,22.125,36.6,35.92913236856569,37.26439618386772,31.490817328390083,68.73,68.08395911905947,69.36884721027884,31.27,30.631152789721156,31.916040880940518,0.0,25.78,42.95,42.25946700055791,43.63156504527315,34.19114155143221,62.005,61.330073455315,62.67531575897791,37.995,37.324684241022084,38.66992654468499,0.0,22.12,39.885,39.2025553798972,40.55985522678311,34.231967889947256,26.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,absolut,45,45.0,11.160755976966746,87.36,86.89227854942936,87.81337251645851,12.64,12.186627483541496,13.107721450570642,0.0,25.675,61.68500000000001,61.004235042023815,62.351870347671145,57.74246866737203,82.295,81.75979788506572,82.81779850607046,17.705,17.18220149392953,18.240202114934263,0.0,22.125,60.16999999999999,59.48444698277275,60.841466447831635,57.773092118194754,88.835,88.3910503641682,89.26403419535414,11.165,10.735965804645843,11.608949635831802,0.0,25.78,63.05499999999999,62.37898834577613,63.71693902406682,60.418986115311476,84.175,83.66262255747617,84.67425177808909,15.825,15.325748221910922,16.337377442523827,0.0,22.12,62.05499999999999,61.3751520155978,62.72027042652352,60.4984458860199,21.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be,33.83924402303325,0.0,25.675,25.07429276200903,26.285049792120454,74.32,73.70991259920461,74.92074676702643,0.005,25.675,0.0,-0.01353888273509546,0.013538882735100467,-0.25179453668488977,22.125,21.555110639822875,22.705595370304955,77.875,77.29440462969505,78.44488936017714,0.0,22.125,0.0,-0.014513327699380293,0.014513327699380293,-0.2155310034031306,28.79,28.166604676992353,29.421541492507604,71.185,70.55330117366408,71.80856225863876,0.025,25.78,3.0100000000000016,2.7735059479168758,3.24778242321229,2.4199074865329413,24.76,24.166703525192766,25.362990454919395,75.235,74.631970001473,75.82833793877539,0.005,22.12,2.639999999999998,2.4183025773706945,2.8635356858360654,2.4187906584635175,28.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+3,36.83924402303326,3.0000000000000027,45.13,44.4413436589811,45.820526772205355,54.865,54.17446741185215,55.55366407732194,0.005,25.675,19.455,18.905475940209477,20.002837917443518,15.334752312466122,39.31,38.63518565322819,39.98892007765133,60.69,60.01107992234868,61.3648143467718,0.0,22.125,17.185,16.661934367863758,17.707788381599908,15.332372119635469,48.68,47.987609566886334,49.37289740830179,51.31,50.617100866920964,52.00239599861204,0.01,25.78,22.900000000000002,22.316254974058626,23.481039864958614,17.820626058953415,42.705,42.02092842714696,43.391873378911605,57.29,56.603117368286924,57.974082746015064,0.005,22.12,20.584999999999997,20.023947419851226,21.14479794220612,17.89831846293142,28.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+6,39.83924402303325,6.0,64.315,63.648364102756716,64.976137904957,35.685,35.023862095043,36.35163589724327,0.0,25.675,38.64,37.96134514264081,39.31104664447947,30.513546183137944,57.78,57.09405819873014,58.462953720236875,42.22,41.537046279763125,42.90594180126986,0.0,22.125,35.655,34.98807405942822,36.315775549305336,30.661708103922876,67.715,67.06364999465599,68.35954616787623,32.285,31.64045383212378,32.93635000534401,0.0,25.78,41.935,41.24677585889253,42.614571649457375,33.29094186666795,60.965,60.28687225114378,61.63891639814585,39.035,38.36108360185415,39.713127748856216,0.0,22.12,38.845,38.16586946164008,39.516895540395765,33.34326961882146,26.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,1.0,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,149.6260209265489,277.91289678761166,173.0646527652177,2.6266577352938434,13.895644839380582,7.612633933092137,14.026977726145276,0.015177320690997542,33.83924402303325,33.91849397117526,basis,relativ,be+11,44.83924402303325,10.999999999999998,86.885,86.41007635095514,87.34575714918603,13.115,12.654242850813969,13.589923649044866,0.0,25.675,61.21000000000001,60.52772911304427,61.878457272874655,56.82048025984283,81.705,81.16310255936199,82.23472043432042,18.295,17.765279565679574,18.83689744063802,0.0,22.125,59.58000000000001,58.89288172423196,60.25319280565736,56.843480863926985,88.37,87.91831409400243,88.80694905905212,11.63,11.19305094094789,12.08168590599758,0.0,25.78,62.59000000000001,61.912312558840576,63.25367876619256,59.44902496840127,83.665,83.14619607352928,84.1708741388132,16.335,15.8291258611868,16.85380392647072,0.0,22.12,61.545,60.863501459945304,62.21204976164084,59.54548597202302,21.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,34,34.0,-0.00788091959988968,25.785,25.183425519069697,26.395874787127454,74.05,73.43789710049104,74.65286596521032,0.165,25.835,-0.050000000000000044,-0.0838988074631318,-0.016311106633053542,-0.20816000863783546,22.645,22.070237699651464,23.230268592978017,77.265,76.67893563562507,77.84059263823553,0.09,22.7,-0.054999999999999494,-0.09066798664486193,-0.019625064273116707,-0.28967789763784446,31.07,30.432317681634284,31.71495280344983,68.745,68.0990402416278,69.38376032662883,0.185,25.665,5.4049999999999985,5.092029418965207,5.719244315593608,2.452558473140829,27.6,26.984823898147404,28.223779317166088,72.325,71.70071548068029,72.94071010941462,0.075,22.75,4.850000000000001,4.552927030328104,5.14893340910327,2.3908315921855556,46.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,37,37.0,2.9921190804001077,50.615,49.92204892995202,51.30771486569897,49.27,48.577328650692785,49.96295172194913,0.115,25.835,24.779999999999998,24.179973238019226,25.376747835023693,11.502758332343994,45.89,45.20024826944937,46.5813302669318,54.065,53.373627234293195,54.75481151257067,0.045,22.7,23.189999999999998,22.603934378744963,23.77388409043244,11.555733397230181,56.445,55.75665616872073,57.130868486516086,43.44,42.75436258487563,44.128156928180466,0.115,25.665,30.78,30.13770354809268,31.41718339980794,14.107502813040792,51.215,50.522085864941346,51.907447487442326,48.745,48.05257388696354,49.43790812353728,0.04,22.75,28.464999999999996,27.837635917282,29.08849284862343,14.102494059284377,45.0,,
