timeframe,risiko_pct_af_MLL_netto_5b,risiko_pct_af_MLL_netto_p50_RTH,risiko_pct_af_MLL_netto_p50_døgn,risiko_pct_af_MLL_netto_p90_RTH,risiko_pct_af_MLL_netto_p90_døgn,omk_R_netto_5b,omk_R_netto_p50_RTH,omk_R_netto_p50_døgn,omk_R_netto_p90_RTH,omk_R_netto_p90_døgn,be_WR_pct_netto_5b,be_WR_pct_netto_p90_RTH,be_WR_pct_netto_p90_døgn
1m,1.4091848467670447,1.8007500411679387,0.9836865760937032,3.7656756533765856,2.5240672179135797,0.09605775498602975,0.07363243223652081,0.14357350304260816,0.1564494151232197,0.37260932552610077,36.53525849953432,38.54831383744066,45.75364418420336
3m,2.350371477121928,3.106467987411744,1.7046610295021236,6.361360330691529,4.268487738631683,0.0554589706989354,0.04140171819515846,0.07810716157030996,0.08334660079049207,0.19231874178745234,35.181965689964514,36.11155335968307,39.74395805958174
5m,2.9983787150125134,4.021308050195107,2.2346487558444608,8.156105567968373,5.436471210758578,0.04295833398295638,0.031684474558417046,0.058498956863226786,0.061206454208068875,0.1399041958217946,34.765277799431885,35.3735484736023,37.996806527393154
15m,5.102936000000001,6.997495689010412,4.047586045857575,13.71928227786849,8.899767447922791,0.024802005688997708,0.01796626090374799,0.031472296620603316,0.032140813093921215,0.06745796143851351,34.16006685629993,34.404693769797376,35.58193204795045
