symbol,schema,start,slut,cachet,estimat_usd,estimeret_utc
NQ.v.0,ohlcv-1m,2010-06-06,2011-01-01,False,0.181809067726,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2011-01-01,2012-01-01,False,0.389640927315,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2012-01-01,2013-01-01,False,0.529619306326,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2013-01-01,2014-01-01,False,0.900079011917,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2014-01-01,2015-01-01,False,0.904547572136,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2015-01-01,2016-01-01,False,1.027615517378,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2016-01-01,2017-01-01,False,1.227558031678,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2017-01-01,2018-01-01,False,1.246637031436,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2018-01-01,2019-01-01,False,1.27477362752,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2019-01-01,2020-01-01,False,1.277212351561,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2020-01-01,2021-01-01,False,1.276577115059,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2021-01-01,2022-01-01,False,1.290161684155,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2022-01-01,2023-01-01,False,1.292786598206,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2023-01-01,2024-01-01,False,1.290033906698,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2024-01-01,2025-01-01,False,1.295860558748,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2025-01-01,2026-01-01,False,1.286934390664,2026-09-11T12:14:10.878545+00:00
NQ.v.0,ohlcv-1m,2026-01-01,2026-09-11,False,0.900104567409,2026-09-11T12:14:10.878545+00:00
MNQ.v.0,bbo-1m,2026-03-13,2026-09-11,False,0.240265578032,2026-09-11T12:14:10.878545+00:00
