periode,timeframe,session,n_barer,n_barer_ATR_nul,ATR_pct_p10,ATR_pct_p50,ATR_pct_p90,R_usd_p10,R_usd_p50,R_usd_p90,risiko_pct_af_MLL_brutto_p50,risiko_pct_af_MLL_brutto_p90,risiko_pct_af_MLL_netto_p50,risiko_pct_af_MLL_netto_p90,omk_R_netto_p50,omk_R_netto_p90,be_WR_pct_brutto,be_WR_pct_netto_p50,be_WR_pct_netto_p90
hele,1m,RTH,1372987,0,0.026440008436520487,0.05351951468878873,0.11454242427325743,15.408179316466681,31.18903238003852,66.7507431694835,1.559451619001926,3.337537158474175,1.682951619001926,3.461037158474175,0.07919450561668723,0.16030446876761936,33.33333333333333,35.973150187222906,38.67681562558731
hele,3m,RTH,457660,0,0.04976413217156509,0.09575328726699645,0.1964615139782065,29.000545664301274,55.80118568771485,114.48991188593962,2.790059284385743,5.724495594296981,2.9135592843857427,5.847995594296981,0.04426429240822566,0.08517081121829001,33.33333333333333,34.80880974694085,36.172360373943
hele,5m,RTH,274593,0,0.06790629083421681,0.12501042727723427,0.2528646954814531,39.573070046548196,72.85107660008104,147.3594299387716,3.642553830004052,7.367971496938581,3.766053830004052,7.491471496938581,0.033904783776349194,0.06241618345777671,33.33333333333333,34.46349279254497,35.41387278192589
hele,15m,RTH,91525,0,0.12996792872273025,0.21994774306129586,0.42912481668347585,75.74011014245829,128.17674674640077,250.0767781704624,6.408837337320038,12.50383890852312,6.532337337320038,12.627338908523122,0.01927026596241302,0.032611518491085685,33.33333333333333,33.97567553208044,34.42038394970286
hele,1m,døgn,4818664,0,0.010651613605113734,0.027591208679088222,0.07668014336965075,6.20733434451608,16.079052769825452,44.686120350097674,0.8039526384912726,2.2343060175048834,0.9274526384912727,2.3578060175048834,0.1536160142863233,0.397916378095962,33.33333333333333,38.45386714287744,46.597212603198734
hele,3m,døgn,1646567,0,0.02021176815984238,0.050564658927624594,0.1315066562059197,11.778610012829745,29.46706063666251,76.63681897056176,1.4733530318331256,3.8318409485280878,1.5968530318331255,3.9553409485280877,0.08382240870427572,0.2097021632699783,33.33333333333333,36.12741362347586,40.32340544233261
hele,5m,døgn,991771,0,0.02805252951342081,0.06787165243692829,0.16859747834861083,16.34789209924111,39.55288417414433,98.25186648243644,1.9776442087072168,4.912593324121822,2.1011442087072165,5.036093324121822,0.062448037648153,0.15108981543343197,33.33333333333333,35.41493458827177,38.36966051444773
hele,15m,døgn,332382,0,0.06017887852436457,0.12713026895784169,0.2800000971498129,35.0698432488587,74.08643553787181,163.17285661502495,3.7043217768935905,8.158642830751248,3.827821776893591,8.282142830751248,0.033339436322908006,0.07043088223898503,33.33333333333333,34.44464787743027,35.681029407966165
K3 2016-2026,1m,RTH,1044096,0,0.02663312580919456,0.05658833789935522,0.1228824930709555,15.520720396566222,32.97741979422825,71.61100166203003,1.6488709897114124,3.580550083101502,1.7723709897114124,3.7040500831015017,0.0748997348917253,0.15914209759154135,33.33333333333333,35.829991163057514,38.63806991971805
K3 2016-2026,3m,RTH,348036,0,0.04999288412763853,0.1006416433277128,0.21045767744703958,29.13385315422263,58.64992406565791,122.6463161090368,2.932496203282896,6.1323158054518405,3.055996203282896,6.2558158054518405,0.04211429152465508,0.08478109596255552,33.33333333333333,34.737143050821835,36.15936986541852
K3 2016-2026,5m,RTH,208823,0,0.0680767577482427,0.13150721335363644,0.27101015766016207,39.672411345365916,76.63714365396517,157.93387947803606,3.831857182698258,7.896693973901803,3.955357182698258,8.020193973901803,0.03222980244609108,0.062259890848751984,33.33333333333333,34.40766008153637,35.408663028291734
K3 2016-2026,15m,RTH,69610,0,0.12964006055402716,0.23192009612208075,0.4587048458262957,75.54904168846487,135.15375521610378,267.3148359537321,6.757687760805188,13.365741797686603,6.881187760805188,13.489241797686605,0.018275481846958267,0.03269399520943483,33.33333333333333,33.94251606156528,34.42313317364783
K3 2016-2026,1m,døgn,3741289,0,0.01118258902905462,0.02902162911296423,0.08099216309025387,6.51676558257187,16.912644581871035,47.198992962476346,0.8456322290935517,2.3599496481238176,0.9691322290935518,2.4834496481238175,0.14604457558622363,0.3790223798452582,33.33333333333333,38.20148585287412,45.96741266150861
K3 2016-2026,3m,døgn,1254602,0,0.021665787312380756,0.05334641372162566,0.1398467497303154,12.62595421416301,31.08815606041457,81.49709187283862,1.5544078030207285,4.074854593641931,1.6779078030207284,4.198354593641931,0.0794514796955231,0.19562877847533838,33.33333333333333,35.98171598985076,39.854292615844614
K3 2016-2026,5m,døgn,753153,0,0.029782787651766132,0.0712275428345438,0.1792530646859285,17.35621733194323,41.50856286225874,104.46151597637169,2.075428143112937,5.223075798818584,2.198928143112937,5.346575798818584,0.05950579421880741,0.14231211517834458,33.33333333333333,35.316859807293575,38.07707050594482
K3 2016-2026,15m,døgn,251176,0,0.061767905031484036,0.1323938003629473,0.29610038792566645,35.99586433614763,77.15381109951115,172.5554620675614,3.8576905549755574,8.62777310337807,3.9811905549755573,8.75127310337807,0.032013972671006655,0.06861899403036847,33.33333333333333,34.400465755700225,35.62063313434562
2010,1m,RTH,11897,0,0.03327928226722626,0.05697645331711147,0.09599410557158179,19.393834534048775,33.203597935079884,55.941524962895,1.6601798967539942,2.79707624814475,1.7836798967539942,2.92057624814475,0.07438952865377352,0.1273600638885548,33.33333333333333,35.81298428845911,37.57866879628516
