spor,tabel,noegle,stoerrelse,vaerdi
A,score,5+,dage_med_handel_n,247.0
A,score,5+,middel_R_brutto,0.04934100893933906
A,score,5+,middel_R_netto,-0.04465922466649045
A,score,5+,middel_R_netto_ci95_lo,-0.1928502227737706
A,score,5+,middel_R_netto_ci95_hi,0.1035317734407897
A,score,5+,win_rate_pct_netto,28.19672131147541
A,score,5+,win_rate_ci95_lo_pct,23.442350567190562
A,score,5+,win_rate_ci95_hi_pct,33.493482948213014
A,score,5+,holder_pct,46.22950819672131
A,score,5+,holder_ci95_lo_pct,40.715733347169284
A,score,5+,holder_ci95_hi_pct,51.837079967524566
A,score,5+,tvetydige_n,3.0
A,score,5+,tvetydige_pct,0.9836065573770492
A,score,5+,udfald_maal_pct,28.19672131147541
A,score,5+,udfald_stop_pct,52.459016393442624
A,score,5+,udfald_BE_pct,13.114754098360656
A,score,5+,udfald_tidsexit_pct,6.229508196721311
A,score,5+,udfald_censureret_pct,0.0
A,score_bedste_fald,0,handler_n,34.0
A,score_bedste_fald,0,dage_med_handel_n,32.0
A,score_bedste_fald,0,middel_R_brutto,0.6242536132585923
A,score_bedste_fald,0,middel_R_netto,0.548477157724191
A,score_bedste_fald,0,middel_R_netto_ci95_lo,0.0888461203406104
A,score_bedste_fald,0,middel_R_netto_ci95_hi,1.0081081951077717
A,score_bedste_fald,0,win_rate_pct_netto,38.23529411764706
A,score_bedste_fald,0,win_rate_ci95_lo_pct,23.900183324508898
A,score_bedste_fald,0,win_rate_ci95_hi_pct,54.9589826555693
A,score_bedste_fald,0,holder_pct,67.6470588235294
A,score_bedste_fald,0,holder_ci95_lo_pct,50.842894593908206
A,score_bedste_fald,0,holder_ci95_hi_pct,80.8683564359745
A,score_bedste_fald,0,tvetydige_n,0.0
A,score_bedste_fald,0,tvetydige_pct,0.0
A,score_bedste_fald,0,udfald_maal_pct,38.23529411764706
A,score_bedste_fald,0,udfald_stop_pct,29.41176470588235
A,score_bedste_fald,0,udfald_BE_pct,11.764705882352942
A,score_bedste_fald,0,udfald_tidsexit_pct,20.58823529411765
A,score_bedste_fald,0,udfald_censureret_pct,0.0
A,score_bedste_fald,1,handler_n,649.0
A,score_bedste_fald,1,dage_med_handel_n,477.0
A,score_bedste_fald,1,middel_R_brutto,0.0824227041704388
A,score_bedste_fald,1,middel_R_netto,0.010846082592203057
A,score_bedste_fald,1,middel_R_netto_ci95_lo,-0.08277754617503026
A,score_bedste_fald,1,middel_R_netto_ci95_hi,0.10446971135943638
A,score_bedste_fald,1,win_rate_pct_netto,22.18798151001541
A,score_bedste_fald,1,win_rate_ci95_lo_pct,19.160108967676933
A,score_bedste_fald,1,win_rate_ci95_hi_pct,25.543157786839917
A,score_bedste_fald,1,holder_pct,49.46070878274268
A,score_bedste_fald,1,holder_ci95_lo_pct,45.628672365170345
A,score_bedste_fald,1,holder_ci95_hi_pct,53.29909181012501
A,score_bedste_fald,1,tvetydige_n,1.0
A,score_bedste_fald,1,tvetydige_pct,0.15408320493066255
A,score_bedste_fald,1,udfald_maal_pct,22.18798151001541
A,score_bedste_fald,1,udfald_stop_pct,44.99229583975347
A,score_bedste_fald,1,udfald_BE_pct,13.25115562403698
A,score_bedste_fald,1,udfald_tidsexit_pct,19.568567026194145
A,score_bedste_fald,1,udfald_censureret_pct,0.0
A,score_bedste_fald,2,handler_n,796.0
A,score_bedste_fald,2,dage_med_handel_n,570.0
A,score_bedste_fald,2,middel_R_brutto,0.04368114025929599
A,score_bedste_fald,2,middel_R_netto,-0.03304407229917312
A,score_bedste_fald,2,middel_R_netto_ci95_lo,-0.11870135799750431
A,score_bedste_fald,2,middel_R_netto_ci95_hi,0.05261321339915807
A,score_bedste_fald,2,win_rate_pct_netto,23.99497487437186
A,score_bedste_fald,2,win_rate_ci95_lo_pct,21.157674996366065
A,score_bedste_fald,2,win_rate_ci95_hi_pct,27.08206733826963
A,score_bedste_fald,2,holder_pct,48.618090452261306
A,score_bedste_fald,2,holder_ci95_lo_pct,45.1609418621078
A,score_bedste_fald,2,holder_ci95_hi_pct,52.088513044563655
A,score_bedste_fald,2,tvetydige_n,6.0
A,score_bedste_fald,2,tvetydige_pct,0.7537688442211056
A,score_bedste_fald,2,udfald_maal_pct,23.99497487437186
A,score_bedste_fald,2,udfald_stop_pct,47.8643216080402
A,score_bedste_fald,2,udfald_BE_pct,16.08040201005025
A,score_bedste_fald,2,udfald_tidsexit_pct,12.06030150753769
A,score_bedste_fald,2,udfald_censureret_pct,0.0
A,score_bedste_fald,3,handler_n,903.0
A,score_bedste_fald,3,dage_med_handel_n,585.0
A,score_bedste_fald,3,middel_R_brutto,0.0023432855293454903
A,score_bedste_fald,3,middel_R_netto,-0.09062492537518012
A,score_bedste_fald,3,middel_R_netto_ci95_lo,-0.1727583390415533
A,score_bedste_fald,3,middel_R_netto_ci95_hi,-0.00849151170880695
A,score_bedste_fald,3,win_rate_pct_netto,24.363233665559246
A,score_bedste_fald,3,win_rate_ci95_lo_pct,21.67578807190191
A,score_bedste_fald,3,win_rate_ci95_hi_pct,27.267878376463788
A,score_bedste_fald,3,holder_pct,46.84385382059801
