kontrakter,stop_ATR,R_pr_kontrakt_usd,risiko_pr_handel_usd,risiko_pct_af_MLL,omk_R_netto,be_WR_pct,antaget_WR_pct,edge_pp,bestaa_pct_netto_opt,bestaa_CI_netto_opt,ruin_pct_netto_opt,ruin_CI_netto_opt,uafgjort_pct_netto_opt,median_dage_bestaaet,bestaa_pct_netto_pess,bestaa_CI_netto_pess,ruin_pct_netto_pess,ruin_CI_netto_pess,uafgjort_pct_netto_pess,bestaa_pct_brutto_opt,bestaa_CI_brutto_opt,ruin_pct_brutto_opt,ruin_CI_brutto_opt,uafgjort_pct_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI_brutto_pess,ruin_pct_brutto_pess,ruin_CI_brutto_pess,uafgjort_pct_brutto_pess
2,0.5,49.79,104.53,5.23,0.0496,34.99,45.0,10.01,98.53,"[98.4, 98.7]",1.45,"[1.3, 1.6]",0.02,46.0,98.03,"[97.8, 98.2]",1.95,"[1.8, 2.2]",0.02,99.56,"[99.5, 99.6]",0.44,"[0.4, 0.5]",0.0,99.28,"[99.2, 99.4]",0.71,"[0.6, 0.8]",0.0
2,0.75,74.69,154.33,7.72,0.0331,34.44,34.0,-0.44,22.98,"[22.4, 23.6]",76.93,"[76.3, 77.5]",0.09,49.0,20.95,"[20.4, 21.5]",79.0,"[78.4, 79.6]",0.04,31.68,"[31.0, 32.3]",68.19,"[67.5, 68.8]",0.13,29.08,"[28.5, 29.7]",70.89,"[70.3, 71.5]",0.03
2,0.75,74.69,154.33,7.72,0.0331,34.44,37.0,2.56,49.67,"[49.0, 50.4]",50.28,"[49.6, 51.0]",0.04,46.0,45.76,"[45.1, 46.5]",54.23,"[53.5, 54.9]",0.01,60.18,"[59.5, 60.9]",39.74,"[39.1, 40.4]",0.08,55.93,"[55.2, 56.6]",44.04,"[43.4, 44.7]",0.03
2,0.75,74.69,154.33,7.72,0.0331,34.44,40.0,5.56,73.83,"[73.2, 74.4]",26.13,"[25.5, 26.7]",0.04,40.0,69.53,"[68.9, 70.2]",30.46,"[29.8, 31.1]",0.01,81.28,"[80.7, 81.8]",18.71,"[18.2, 19.3]",0.01,77.53,"[77.0, 78.1]",22.46,"[21.9, 23.0]",0.0
2,0.75,74.69,154.33,7.72,0.0331,34.44,45.0,10.56,94.31,"[94.0, 94.6]",5.7,"[5.4, 6.0]",0.0,28.0,92.41,"[92.0, 92.8]",7.59,"[7.2, 8.0]",0.0,96.26,"[96.0, 96.5]",3.74,"[3.5, 4.0]",0.0,94.94,"[94.6, 95.2]",5.07,"[4.8, 5.4]",0.0
2,1.0,99.59,204.12,10.21,0.0248,34.16,34.0,-0.16,26.16,"[25.6, 26.8]",73.83,"[73.2, 74.4]",0.0,29.0,23.21,"[22.6, 23.8]",76.79,"[76.2, 77.4]",0.0,31.75,"[31.1, 32.4]",68.25,"[67.6, 68.9]",0.0,28.45,"[27.8, 29.1]",71.55,"[70.9, 72.2]",0.0
2,1.0,99.59,204.12,10.21,0.0248,34.16,37.0,2.84,46.66,"[46.0, 47.4]",53.34,"[52.6, 54.0]",0.0,28.0,41.52,"[40.8, 42.2]",58.48,"[57.8, 59.2]",0.0,54.0,"[53.3, 54.7]",46.0,"[45.3, 46.7]",0.0,49.11,"[48.4, 49.8]",50.89,"[50.2, 51.6]",0.0
2,1.0,99.59,204.12,10.21,0.0248,34.16,40.0,5.84,67.65,"[67.0, 68.3]",32.35,"[31.7, 33.0]",0.0,25.0,62.03,"[61.4, 62.7]",37.97,"[37.3, 38.6]",0.0,74.16,"[73.5, 74.8]",25.84,"[25.2, 26.5]",0.0,69.05,"[68.4, 69.7]",30.95,"[30.3, 31.6]",0.0
2,1.0,99.59,204.12,10.21,0.0248,34.16,45.0,10.84,88.86,"[88.4, 89.3]",11.14,"[10.7, 11.6]",0.0,19.0,84.96,"[84.5, 85.4]",15.04,"[14.6, 15.5]",0.0,92.19,"[91.8, 92.6]",7.8,"[7.4, 8.2]",0.0,89.17,"[88.7, 89.6]",10.84,"[10.4, 11.3]",0.0
3,0.5,49.79,156.8,7.84,0.0496,34.99,34.0,-0.99,18.83,"[18.3, 19.4]",81.06,"[80.5, 81.6]",0.1,47.0,17.16,"[16.6, 17.7]",82.8,"[82.3, 83.3]",0.04,31.86,"[31.2, 32.5]",67.98,"[67.3, 68.6]",0.15,29.09,"[28.5, 29.7]",70.82,"[70.2, 71.4]",0.09
